Inserted Genomes, Total BP Epochs, Time, Best Val. MAE, Best Val. MSE, Enabled Nodes, Enabled Edges, Enabled Rec. Edges,Island_0_best_fitness,Island_0_worst_fitness,Island_1_best_fitness,Island_1_worst_fitness,Island_2_best_fitness,Island_2_worst_fitness,Island_3_best_fitness,Island_3_worst_fitness,Island_4_best_fitness,Island_4_worst_fitness,Island_5_best_fitness,Island_5_worst_fitness,Island_6_best_fitness,Island_6_worst_fitness,Island_7_best_fitness,Island_7_worst_fitness,Island_8_best_fitness,Island_8_worst_fitness,Island_9_best_fitness,Island_9_worst_fitness
15,10,2067,0.257169,0.100039,23,21,0,0.100039,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000
17,20,2111,0.242464,0.0969884,23,22,0,0.096988,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000
19,30,2144,0.163695,0.0450524,23,22,1,0.045052,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000
21,40,2544,0.0961051,0.0169313,23,22,1,0.016931,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000
23,50,2611,0.0961051,0.0169313,23,22,1,0.016931,10000000.000000,0.060007,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000
25,60,2673,0.0961051,0.0169313,23,22,1,0.016931,10000000.000000,0.060007,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000
26,70,2690,0.0961051,0.0169313,23,22,1,0.016931,10000000.000000,0.060007,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000
28,80,2695,0.0961051,0.0169313,23,22,1,0.016931,10000000.000000,0.042950,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000
30,90,2715,0.0961051,0.0169313,23,22,1,0.016931,10000000.000000,0.042950,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000
32,100,2720,0.0961051,0.0169313,23,22,1,0.016931,10000000.000000,0.042950,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000
34,110,2786,0.0961051,0.0169313,23,22,1,0.016931,10000000.000000,0.042950,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000
36,120,2822,0.0961051,0.0169313,23,22,1,0.016931,10000000.000000,0.032082,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000
38,130,2826,0.0961051,0.0169313,23,22,1,0.016931,10000000.000000,0.032082,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000
40,140,3087,0.0961051,0.0169313,23,22,1,0.016931,0.106255,0.032082,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000
42,150,3294,0.0961051,0.0169313,23,22,1,0.016931,0.106255,0.032082,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000
44,160,3967,0.0961051,0.0169313,23,22,1,0.016931,0.106255,0.022669,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000
46,170,4264,0.0961051,0.0169313,23,22,1,0.016931,0.106255,0.022669,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000
47,180,4381,0.0961051,0.0169313,23,22,1,0.016931,0.106255,0.022669,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000
49,190,4477,0.0961051,0.0169313,23,22,1,0.016931,0.106255,0.022669,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000
51,200,4659,0.0961051,0.0169313,23,22,1,0.016931,0.106255,0.022669,10000000.000000,0.095394,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000
53,210,4693,0.0961051,0.0169313,23,22,1,0.016931,0.106255,0.022669,10000000.000000,0.095394,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000
55,220,4730,0.0961051,0.0169313,23,22,1,0.016931,0.106255,0.022669,0.125431,0.095394,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000
57,230,4791,0.0961051,0.0169313,23,22,1,0.016931,0.106255,0.022669,0.125431,0.044432,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000
59,240,5069,0.0961051,0.0169313,23,22,1,0.016931,0.106255,0.022669,0.125431,0.044432,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000
61,250,5104,0.0961051,0.0169313,23,22,1,0.016931,0.106255,0.022669,0.125431,0.044432,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000
63,260,5243,0.0961051,0.0169313,23,22,1,0.016931,0.106255,0.022669,0.125431,0.044432,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000
65,270,5278,0.0961051,0.0169313,23,22,1,0.016931,0.106255,0.022669,0.125431,0.044432,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000
67,280,5607,0.0926721,0.0144887,25,31,0,0.016931,0.106255,0.022669,0.125431,0.014489,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000
68,290,5649,0.0926721,0.0144887,25,31,0,0.016931,0.106255,0.022669,0.125431,0.014489,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000
70,300,5715,0.0926721,0.0144887,25,31,0,0.016931,0.106255,0.022669,0.125431,0.014489,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000
72,310,6398,0.0926721,0.0144887,25,31,0,0.016931,0.106255,0.022669,0.125431,0.014489,0.295833,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000
74,320,6427,0.0926721,0.0144887,25,31,0,0.016931,0.106255,0.022669,0.125431,0.014489,0.295833,0.168435,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000
76,330,6568,0.0926721,0.0144887,25,31,0,0.016931,0.106255,0.022669,0.125431,0.014489,0.295833,0.083764,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000
78,340,6594,0.0926721,0.0144887,25,31,0,0.016931,0.106255,0.022669,0.125431,0.014489,0.295833,0.083764,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000
80,350,6640,0.0926721,0.0144887,25,31,0,0.016931,0.106255,0.022669,0.125431,0.014489,0.295833,0.043183,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000
82,360,6774,0.0926721,0.0144887,25,31,0,0.016931,0.106255,0.022669,0.125431,0.014489,0.295833,0.043183,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000
84,370,6783,0.0926721,0.0144887,25,31,0,0.016931,0.106255,0.022669,0.125431,0.014489,0.295833,0.043183,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000
86,380,6882,0.0926721,0.0144887,25,31,0,0.016931,0.106255,0.022669,0.125431,0.014489,0.185736,0.043183,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000
88,390,6967,0.0926721,0.0144887,25,31,0,0.016931,0.106255,0.022669,0.125431,0.014489,0.185736,0.043183,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000
89,400,7058,0.0926721,0.0144887,25,31,0,0.016931,0.106255,0.022669,0.125431,0.014489,0.185736,0.043183,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000
91,410,7221,0.0926721,0.0144887,25,31,0,0.016931,0.106255,0.022669,0.125431,0.014489,0.185736,0.043183,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000
93,420,7225,0.0926721,0.0144887,25,31,0,0.016931,0.106255,0.022669,0.125431,0.014489,0.185736,0.043183,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000
95,430,7582,0.0926721,0.0144887,25,31,0,0.016931,0.106255,0.022669,0.125431,0.014489,0.185736,0.043183,0.210327,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000
97,440,7609,0.0926721,0.0144887,25,31,0,0.016931,0.106255,0.022669,0.125431,0.014489,0.185736,0.043183,0.210327,0.075135,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000
99,450,7708,0.0926721,0.0144887,25,31,0,0.016931,0.106255,0.022669,0.125431,0.014489,0.185736,0.043183,0.210327,0.075135,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000
101,460,8460,0.0926721,0.0144887,25,31,0,0.016931,0.106255,0.022669,0.125431,0.014489,0.185736,0.043183,0.210327,0.042582,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000
103,470,8485,0.0926721,0.0144887,25,31,0,0.016931,0.106255,0.022669,0.125431,0.014489,0.185736,0.043183,0.210327,0.042582,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000
105,480,8625,0.0926721,0.0144887,25,31,0,0.016931,0.106255,0.022669,0.125431,0.014489,0.185736,0.043183,0.210327,0.042582,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000
107,490,8652,0.0926721,0.0144887,25,31,0,0.016931,0.106255,0.022669,0.125431,0.014489,0.185736,0.043183,0.210327,0.042582,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000
109,500,8669,0.0926721,0.0144887,25,31,0,0.016931,0.106255,0.022669,0.125431,0.014489,0.185736,0.043183,0.210327,0.037744,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000
110,510,8714,0.0926721,0.0144887,25,31,0,0.016931,0.106255,0.022669,0.125431,0.014489,0.185736,0.043183,0.210327,0.018412,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000
112,520,8752,0.0926721,0.0144887,25,31,0,0.016931,0.106255,0.022669,0.125431,0.014489,0.185736,0.043183,0.210327,0.018412,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000
114,530,8879,0.0926721,0.0144887,25,31,0,0.016931,0.106255,0.022669,0.125431,0.014489,0.185736,0.043183,0.210327,0.018412,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000
116,540,8950,0.0926721,0.0144887,25,31,0,0.016931,0.106255,0.022669,0.125431,0.014489,0.185736,0.043183,0.210327,0.018412,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000
118,550,9068,0.0926721,0.0144887,25,31,0,0.016931,0.106255,0.022669,0.125431,0.014489,0.185736,0.043183,0.210327,0.018412,10000000.000000,0.033435,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000
120,560,9221,0.0926721,0.0144887,25,31,0,0.016931,0.106255,0.022669,0.125431,0.014489,0.185736,0.043183,0.210327,0.018412,10000000.000000,0.033435,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000
122,570,9267,0.0926721,0.0144887,25,31,0,0.016931,0.106255,0.022669,0.125431,0.014489,0.185736,0.043183,0.210327,0.018412,10000000.000000,0.026004,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000
124,580,9415,0.0926721,0.0144887,25,31,0,0.016931,0.106255,0.022669,0.125431,0.014489,0.185736,0.043183,0.210327,0.018412,10000000.000000,0.026004,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000
126,590,9496,0.0926721,0.0144887,25,31,0,0.016931,0.106255,0.022669,0.125431,0.014489,0.185736,0.043183,0.210327,0.018412,10000000.000000,0.026004,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000
128,600,9670,0.0926721,0.0144887,25,31,0,0.016931,0.106255,0.022669,0.125431,0.014489,0.185736,0.043183,0.210327,0.018412,10000000.000000,0.026004,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000
130,610,10497,0.0926721,0.0144887,25,31,0,0.016931,0.106255,0.022669,0.125431,0.014489,0.185736,0.043183,0.210327,0.018412,10000000.000000,0.026004,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000
131,620,10538,0.0926721,0.0144887,25,31,0,0.016931,0.106255,0.022669,0.125431,0.014489,0.185736,0.043183,0.210327,0.018412,10000000.000000,0.026004,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000
133,630,10613,0.0926721,0.0144887,25,31,0,0.016931,0.106255,0.022669,0.125431,0.014489,0.185736,0.043183,0.210327,0.018412,10000000.000000,0.026004,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000,10000000.000000
